Drug	Gene
D11423	CFTR
D11682	CFTR
D11402	CFTR
D11507	CFTR
D11536	CFTR
D11535	CFTR
D11724	CFTR
D09916	CFTR
D11041	CFTR
D10134	CFTR
D11683	CFTR
D11817	TYK2
D09970	TYK2
D09783	TYK2
D11046	TYK2
D11106	TYK2
D11538	TYK2
D11537	TYK2
D10701	SLC18A2
D02078	SLC18A2
D08187	SLC18A2
D02242	SLC18A2
D10675	SLC18A2
D08575	SLC18A2
D07445	SLC18A2
D03740	SLC18A2
D07514	SLC18A2
D07515	SLC18A2
D11623	SLC18A2
D11622	SLC18A2
D02074	SLC18A2
D11172	SLC18A2
D07097	SLC18A2
D10999	SLC18A2
D10170	SLC18A2
D10171	SLC18A2
D00197	SLC18A2
D11866	JAK1
D11867	JAK1
D09970	JAK1
D09783	JAK1
D11046	JAK1
D10653	JAK1
D10721	JAK1
D10871	JAK1
D11106	JAK1
D10872	JAK1
D09959	JAK1
D09960	JAK1
D11676	JAK1
D11677	JAK1
D10944	JAK1
D10945	JAK1
D10315	JAK1
D10358	JAK1
D10889	JAK1
D10994	JAK1
D10995	JAK1
D11048	JAK1
D10728	JAK1
D11538	JAK1
D11400	JAK1
D10308	JAK1
D11537	JAK1
D10141	JAK1
D10142	JAK1
D11866	JAK2
D11867	JAK2
D09970	JAK2
D09783	JAK2
D11046	JAK2
D10653	JAK2
D10721	JAK2
D11106	JAK2
D09959	JAK2
D09960	JAK2
D11768	JAK2
D11676	JAK2
D11677	JAK2
D10315	JAK2
D10358	JAK2
D10889	JAK2
D10365	JAK2
D10630	JAK2
D11296	JAK2
D10308	JAK2
D11599	JAK2
D11600	JAK2
D10683	FOLH1
D10070	FOLH1
D11033	SSTR2
D02108	SSTR2
D11651	SSTR2
D11192	SSTR2
D05812	SSTR2
D10147	SSTR2
D10497	SSTR2
D10566	SSTR2
D06281	SSTR2
D09988	SSTR2
D04666	SSTR2
D00442	SSTR2
D05230	SSTR2
D06495	SSTR2
D02250	SSTR2
D11204	SSTR2
D02108	SSTR3
D11192	SSTR3
D05812	SSTR3
D10147	SSTR3
D10497	SSTR3
D10566	SSTR3
D02108	SSTR5
D11192	SSTR5
D05812	SSTR5
