Drug	Gene
D03CPB	T00075
D08JKK	T00140
D0J5OV	T00140
D0N6CN	T00140
D05GZI	T00140
D0P8IX	T00140
D0X6SA	T00140
D0M6UM	T00140
D0V9EN	T00140
D0D5ZV	T00140
D0J7AM	T00140
D0K3AO	T00140
D0S0PB	T00140
D0X9KE	T00140
D0UU1I	T00140
D0L3BQ	T00140
D0PU1J	T00140
D0O6OJ	T00140
D05RIE	T00140
D0K7XU	T00140
D0AZ8C	T00140
D0P1LP	T00140
D0J7YU	T00140
D00YEV	T00140
D0QI8I	T00140
D0T8TS	T00140
D0SZ3B	T00140
D0U2YL	T00140
D05PHI	T00140
D05WPQ	T00140
D0PD7X	T00140
D06KQD	T00140
D0O7SM	T00140
D0X8VV	T00140
D05KCN	T00140
D0NS1S	T00140
D05VVX	T00140
D0Q7UG	T00140
D0O8ZE	T00140
D0S6XY	T00140
D0S5DY	T00140
D0H7GH	T00140
D0KB6Q	T00140
D0SJ3W	T00140
D0H0IA	T00140
D0L4TM	T00140
D09VTJ	T00140
D04UJI	T00140
D04MBD	T00140
D0I9RY	T00140
D0T0CY	T00140
D0T1HY	T00140
D0K9UK	T00140
D0L8RG	T00140
D06HUQ	T00140
D06GRW	T00140
D0U6AL	T00140
D02RQT	T00140
D08PXR	T00140
D0C0NH	T00140
D0H4MV	T00140
D0HZ9X	T00140
D0R2XE	T00140
D0J8RS	T00140
D06MUA	T00140
D06UVO	T00140
D0U8CM	T00140
D0K7XQ	T00140
D07CJR	T00140
D02YEY	T00140
D0V8UV	T00140
D06RCB	T00140
D0AL8T	T00140
D0H6JC	T00140
D0HJ1Y	T00140
D0R1ER	T00140
D04WMR	T00140
D0L1IH	T00140
D02COM	T00140
D06CWX	T00140
D0Y0KF	T00140
D0Z0ZM	T00140
D0N1SU	T00140
D0F4HT	T00140
D0DP8P	T00140
D0G3VE	T00140
D0H2RB	T00140
D0D8MD	T00140
D06AFD	T00140
D03QNE	T00140
D04IFV	T00140
D0U9UL	T00140
D01DAD	T00140
D07OKS	T00140
D04RQG	T00140
D04ZGR	T00140
D0F1ZE	T00140
D0S8UP	T00140
D0E3CO	T00140
D02RBU	T00140
D00OWE	T00140
D0C9RZ	T00140
D05QBX	T00140
D0Z5XD	T00140
D09CXQ	T00140
D03HNC	T00140
D07PCS	T00140
D04XPJ	T00140
D0IF2H	T00140
D0E4JU	T00140
D01QDG	T00140
D04FNQ	T00140
D0U2CB	T00140
D00XKA	T00140
D0JY4Y	T00140
D00HFD	T00140
D0AS0V	T00140
D0C6BU	T00140
D0L5XG	T00140
D0C7GT	T00140
D0CT9V	T00140
D0DP9F	T00140
D0H7UQ	T00140
D0E1NK	T00140
D01SQY	T00140
D0P1TZ	T00140
D00JPV	T00140
D02TLZ	T00140
D01VLQ	T00140
D02YPE	T00140
D0X9RM	T00140
D0P3KA	T00140
D0B0XK	T00140
DES36M	T00140
D0WW1K	T00140
D02HQK	T00140
D0C4KD	T00140
D0C1XI	T00140
D09WYM	T00140
D0XL5D	T00140
D00ENR	T00140
D08MCE	T00140
D06XRQ	T00140
D0XQ8P	T00140
D08ORO	T00140
D06TPF	T00140
D00RJB	T00140
D0X8BS	T00140
D04JIM	T00140
D02QGM	T00140
D08BNV	T00140
D06MPF	T00140
D08UXT	T00140
D08NDV	T00140
D0V3HG	T00140
D08HFK	T00140
D09SCI	T00140
D0L4SL	T00140
D09PDD	T00140
D07LMV	T00140
D00BSX	T00140
D0G5GJ	T00140
D08FPY	T00140
D09JUG	T00140
D0M0QX	T00140
D0A7JH	T00140
D0L6VH	T00140
D06XYZ	T00140
D07MYE	T00140
D0A9HL	T00140
D07XMM	T00140
D0A2QP	T00140
D0U5EU	T00140
D0K2ER	T00140
D0Y4OI	T00140
D01QAR	T00140
D0E8UV	T00140
D09JYF	T00140
D0JV2P	T00156
D09YUL	T00156
D00HCI	T00156
D0F4FK	T00156
D0KT5E	T00156
D0M6VZ	T00156
D0SY2M	T00156
D0G8FT	T00156
DNY16U	T00176
D01KTG	T00176
D0OC4O	T00176
D0C1WR	T00176
D0B3GF	T00176
D04SXL	T00176
D04WMR	T00239
D40DVS	T00254
